player,position,team,age,minutes_90s,fouls,fouled,interceptions,tackles_won,stage,team_90s,minutes,tackles_won_per90,interceptions_per90,fouls_per90,fouled_per90
Abbosbek Fayzullayev,MF,Uzbekistan,22,2.4,6,4,1,6,Group-stage exit,3.0,216,2.5,0.4166666666666667,2.5,1.6666666666666667
Abdullah Al-Khaibari,MF,Saudi Arabia,29,2.0,0,2,1,1,Group-stage exit,3.0,180,0.5,0.5,0.0,1.0
Akmal Mozgovoy,MF,Uzbekistan,27,2.4,0,3,2,0,Group-stage exit,3.0,216,0.0,0.8333333333333334,0.0,1.25
Akram Afif,"FW,MF",Qatar,29,2.6,0,4,0,1,Group-stage exit,3.0,234,0.3846153846153846,0.0,0.0,1.5384615384615383
Ali Olwan,MF,Jordan,26,3.0,1,4,1,0,Group-stage exit,3.0,270,0.0,0.3333333333333333,0.3333333333333333,1.3333333333333333
Amir Al Ammari,MF,Iraq,28,2.7,3,0,2,1,Group-stage exit,3.0,243,0.37037037037037035,0.7407407407407407,1.111111111111111,0.0
Anis Ben Slimane,"MF,FW",Tunisia,25,2.7,0,0,2,2,Group-stage exit,3.0,243,0.7407407407407407,0.7407407407407407,0.0,0.0
Arda Güler,MF,Türkiye,21,3.0,3,10,2,3,Group-stage exit,3.0,270,1.0,0.6666666666666666,1.0,3.3333333333333335
Barış Alper Yılmaz,"MF,FW",Türkiye,26,2.0,4,1,0,0,Group-stage exit,3.0,180,0.0,0.0,2.0,0.5
Ben Gannon-Doak,MF,Scotland,20,2.1,3,1,0,1,Group-stage exit,3.0,189,0.47619047619047616,0.0,1.4285714285714286,0.47619047619047616
Carlos Harvey,MF,Panama,26,3.0,8,3,0,3,Group-stage exit,3.0,270,1.0,0.0,2.6666666666666665,1.0
Cristian Martínez,"MF,FW",Panama,29,2.7,5,5,1,4,Group-stage exit,3.0,243,1.4814814814814814,0.37037037037037035,1.8518518518518516,1.8518518518518516
César Blackman,"MF,DF",Panama,28,2.0,2,2,1,0,Group-stage exit,3.0,180,0.0,0.5,1.0,1.0
Danley Jean-Jacques,MF,Haiti,26,2.9,5,3,3,6,Group-stage exit,3.0,261,2.0689655172413794,1.0344827586206897,1.7241379310344829,1.0344827586206897
Edmilson Junior,"MF,FW",Qatar,31,2.3,4,2,0,1,Group-stage exit,3.0,207,0.4347826086956522,0.0,1.7391304347826089,0.8695652173913044
Elijah Just,MF,New Zealand,26,2.9,3,2,2,3,Group-stage exit,3.0,261,1.0344827586206897,0.6896551724137931,1.0344827586206897,0.6896551724137931
Ellyes Skhiri,"MF,DF",Tunisia,31,2.8,0,1,2,1,Group-stage exit,3.0,252,0.35714285714285715,0.7142857142857143,0.0,0.35714285714285715
Federico Valverde,MF,Uruguay,27,2.6,1,0,3,2,Group-stage exit,3.0,234,0.7692307692307692,1.1538461538461537,0.3846153846153846,0.0
