stage,population_N,sample_n,sampling_fraction,mean,mean_standard_error,mean_95ci_low,mean_95ci_high,median,standard_deviation,variance,q1,q3,iqr,minimum,maximum,skewness,sample_minutes,aggregate_tackles_per90
Group-stage exit,60,50,0.8333333333333334,0.9149934605346899,0.101940519622031,0.710136316642169,1.1198506044272107,0.8608058608058607,0.7208283270241843,0.5195934770404844,0.36044973544973546,1.4953703703703702,1.1349206349206349,0.0,2.5,0.41204353655155107,11835,0.935361216730038
Knockout stage,180,50,0.2777777777777778,1.0519755762542722,0.09421630169073916,0.8626408294426651,1.2413103230658793,1.0128205128205128,0.6662098582383925,0.443835575214019,0.5138888888888888,1.4285714285714286,0.9146825396825398,0.0,2.75,0.4023324295995907,16173,1.0628825820812464
