player,position,team,age,minutes_90s,fouls,fouled,interceptions,tackles_won,stage,team_90s,minutes,tackles_won_per90,interceptions_per90,fouls_per90,fouled_per90,sample_id,selection_probability,sample_weight
Michael Amir Murillo,"DF,MF",Panama,30,3.0,1,7,1,3,Group-stage exit,3.0,270,1.0,0.3333333333333333,0.3333333333333333,2.3333333333333335,WC26-MF-S032,0.8333333333333334,1.2
Michal Sadílek,MF,Czechia,27,2.0,0,3,2,2,Group-stage exit,3.0,180,1.0,1.0,0.0,1.5,WC26-MF-S033,0.8333333333333334,1.2
Mohamed Kanno,MF,Saudi Arabia,31,2.5,5,0,2,4,Group-stage exit,3.0,225,1.6,0.8,2.0,0.0,WC26-MF-S034,0.8333333333333334,1.2
Nasser Al-Dawsari,MF,Saudi Arabia,27,2.3,7,2,4,4,Group-stage exit,3.0,207,1.7391304347826089,1.7391304347826089,3.0434782608695654,0.8695652173913044,WC26-MF-S035,0.8333333333333334,1.2
Nizar Al Rashdan,MF,Jordan,27,2.8,5,4,2,5,Group-stage exit,3.0,252,1.7857142857142858,0.7142857142857143,1.7857142857142858,1.4285714285714286,WC26-MF-S036,0.8333333333333334,1.2
Noor Al Rawabdeh,MF,Jordan,29,3.0,1,0,2,7,Group-stage exit,3.0,270,2.3333333333333335,0.6666666666666666,0.3333333333333333,0.0,WC26-MF-S037,0.8333333333333334,1.2
Otabek Shukurov,MF,Uzbekistan,29,2.6,2,5,0,2,Group-stage exit,3.0,234,0.7692307692307692,0.0,0.7692307692307692,1.923076923076923,WC26-MF-S038,0.8333333333333334,1.2
Paik Seung-ho,MF,Korea Republic,29,2.3,1,2,1,0,Group-stage exit,3.0,207,0.0,0.4347826086956522,0.4347826086956522,0.8695652173913044,WC26-MF-S039,0.8333333333333334,1.2
Ramin Rezaeian,"DF,MF",IR Iran,36,3.0,2,3,2,5,Group-stage exit,3.0,270,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.0,WC26-MF-S040,0.8333333333333334,1.2
Rodrigo Bentancur,MF,Uruguay,28,3.0,7,5,7,5,Group-stage exit,3.0,270,1.6666666666666667,2.3333333333333335,2.3333333333333335,1.6666666666666667,WC26-MF-S041,0.8333333333333334,1.2
Salem Al-Dawsari,MF,Saudi Arabia,34,2.7,3,4,1,1,Group-stage exit,3.0,243,0.37037037037037035,0.37037037037037035,1.111111111111111,1.4814814814814814,WC26-MF-S042,0.8333333333333334,1.2
Saman Ghoddos,MF,IR Iran,32,2.3,3,0,5,4,Group-stage exit,3.0,207,1.7391304347826089,2.173913043478261,1.3043478260869565,0.0,WC26-MF-S043,0.8333333333333334,1.2
Sarpreet Singh,MF,New Zealand,27,2.3,2,2,0,1,Group-stage exit,3.0,207,0.4347826086956522,0.0,0.8695652173913044,0.8695652173913044,WC26-MF-S044,0.8333333333333334,1.2
Seol Young-woo,MF,Korea Republic,27,2.8,1,2,1,0,Group-stage exit,3.0,252,0.0,0.35714285714285715,0.35714285714285715,0.7142857142857143,WC26-MF-S045,0.8333333333333334,1.2
Sherzod Nasrullaev,"DF,MF",Uzbekistan,27,2.0,3,2,2,2,Group-stage exit,3.0,180,1.0,1.0,1.5,1.0,WC26-MF-S046,0.8333333333333334,1.2
Tahith Chong,MF,Curaçao,26,2.7,3,13,1,0,Group-stage exit,3.0,243,0.0,0.37037037037037035,1.111111111111111,4.814814814814815,WC26-MF-S047,0.8333333333333334,1.2
Vladimír Coufal,"MF,DF",Czechia,33,3.0,4,3,2,1,Group-stage exit,3.0,270,0.3333333333333333,0.6666666666666666,1.3333333333333333,1.0,WC26-MF-S048,0.8333333333333334,1.2
Yoel Bárcenas,MF,Panama,32,2.8,3,3,2,0,Group-stage exit,3.0,252,0.0,0.7142857142857143,1.0714285714285714,1.0714285714285714,WC26-MF-S049,0.8333333333333334,1.2
Zidane Iqbal,MF,Iraq,23,2.1,1,2,1,2,Group-stage exit,3.0,189,0.9523809523809523,0.47619047619047616,0.47619047619047616,0.9523809523809523,WC26-MF-S050,0.8333333333333334,1.2
Amad Diallo,"MF,FW",Côte d'Ivoire,23,2.1,0,2,2,4,Knockout stage,4.0,189,1.9047619047619047,0.9523809523809523,0.0,0.9523809523809523,WC26-MF-S051,0.2777777777777778,3.5999999999999996
Antonee Robinson,"DF,MF",USA,28,3.9,4,1,6,4,Knockout stage,5.0,351,1.0256410256410258,1.5384615384615385,1.0256410256410258,0.25641025641025644,WC26-MF-S052,0.2777777777777778,3.5999999999999996
Bruno Fernandes,MF,Portugal,31,4.7,2,8,0,5,Knockout stage,5.0,423,1.0638297872340425,0.0,0.425531914893617,1.702127659574468,WC26-MF-S053,0.2777777777777778,3.5999999999999996
Caleb Yirenkyi,MF,Ghana,20,2.9,7,3,3,1,Knockout stage,4.0,261,0.3448275862068966,1.0344827586206897,2.413793103448276,1.0344827586206897,WC26-MF-S054,0.2777777777777778,3.5999999999999996
Chemsdine Talbi,MF,Morocco,21,2.0,0,1,2,2,Knockout stage,6.3,180,1.0,1.0,0.0,0.5,WC26-MF-S055,0.2777777777777778,3.5999999999999996
Christian Pulisic,MF,USA,27,2.5,1,8,0,1,Knockout stage,5.0,225,0.4,0.0,0.4,3.2,WC26-MF-S056,0.2777777777777778,3.5999999999999996
Daichi Kamada,MF,Japan,29,3.7,2,4,1,3,Knockout stage,4.0,333,0.8108108108108107,0.27027027027027023,0.5405405405405405,1.081081081081081,WC26-MF-S057,0.2777777777777778,3.5999999999999996
Dan Ndoye,"MF,FW",Switzerland,25,4.5,5,16,4,5,Knockout stage,6.7,405,1.1111111111111112,0.8888888888888888,1.1111111111111112,3.5555555555555554,WC26-MF-S058,0.2777777777777778,3.5999999999999996
Fabian Rieder,"MF,FW",Switzerland,24,3.4,3,6,1,3,Knockout stage,6.7,306,0.8823529411764706,0.29411764705882354,0.8823529411764706,1.7647058823529411,WC26-MF-S059,0.2777777777777778,3.5999999999999996
Fredrik Aursnes,"MF,DF",Norway,30,3.4,5,3,1,8,Knockout stage,6.3,306,2.3529411764705883,0.29411764705882354,1.4705882352941178,0.8823529411764706,WC26-MF-S060,0.2777777777777778,3.5999999999999996
Frenkie de Jong,MF,Netherlands,29,3.6,6,6,8,7,Knockout stage,4.3,324,1.9444444444444444,2.2222222222222223,1.6666666666666665,1.6666666666666665,WC26-MF-S061,0.2777777777777778,3.5999999999999996
Hans Vanaken,MF,Belgium,33,3.5,0,6,1,1,Knockout stage,6.3,315,0.2857142857142857,0.2857142857142857,0.0,1.7142857142857142,WC26-MF-S062,0.2777777777777778,3.5999999999999996
Ibrahim Sangaré,MF,Côte d'Ivoire,28,3.0,2,4,6,5,Knockout stage,4.0,270,1.6666666666666667,2.0,0.6666666666666666,1.3333333333333333,WC26-MF-S063,0.2777777777777778,3.5999999999999996
Ismaila Sarr,"MF,FW",Senegal,28,4.0,1,9,2,1,Knockout stage,4.3,360,0.25,0.5,0.25,2.25,WC26-MF-S064,0.2777777777777778,3.5999999999999996
Jamiro Monteiro,MF,Cabo Verde,32,3.1,4,2,4,4,Knockout stage,4.3,279,1.2903225806451613,1.2903225806451613,1.2903225806451613,0.6451612903225806,WC26-MF-S065,0.2777777777777778,3.5999999999999996
Jhon Arias,MF,Colombia,28,4.2,5,2,2,9,Knockout stage,5.3,378,2.142857142857143,0.47619047619047616,1.1904761904761905,0.47619047619047616,WC26-MF-S066,0.2777777777777778,3.5999999999999996
Johan Manzambi,"MF,FW",Switzerland,20,2.2,3,3,0,0,Knockout stage,6.7,198,0.0,0.0,1.3636363636363635,1.3636363636363635,WC26-MF-S067,0.2777777777777778,3.5999999999999996
Konrad Laimer,"MF,DF",Austria,29,4.0,6,3,2,6,Knockout stage,4.0,360,1.5,0.5,1.5,0.75,WC26-MF-S068,0.2777777777777778,3.5999999999999996
Kwasi Sibo,MF,Ghana,27,2.8,7,1,2,0,Knockout stage,4.0,252,0.0,0.7142857142857143,2.5,0.35714285714285715,WC26-MF-S069,0.2777777777777778,3.5999999999999996
Lucas Paquetá,MF,Brazil,28,2.6,3,6,5,4,Knockout stage,5.0,234,1.5384615384615383,1.923076923076923,1.1538461538461537,2.3076923076923075,WC26-MF-S070,0.2777777777777778,3.5999999999999996
Luis Díaz,"FW,MF",Colombia,29,5.3,7,9,1,0,Knockout stage,5.3,477,0.0,0.18867924528301888,1.3207547169811322,1.6981132075471699,WC26-MF-S071,0.2777777777777778,3.5999999999999996
Marcel Sabitzer,MF,Austria,32,4.0,2,3,6,2,Knockout stage,4.0,360,0.5,1.5,0.5,0.75,WC26-MF-S072,0.2777777777777778,3.5999999999999996
Marcus Rashford,MF,England,28,2.5,5,1,0,2,Knockout stage,8.3,225,0.8,0.0,2.0,0.4,WC26-MF-S073,0.2777777777777778,3.5999999999999996
Martin Baturina,"MF,FW",Croatia,23,3.6,1,14,1,2,Knockout stage,4.0,324,0.5555555555555556,0.2777777777777778,0.2777777777777778,3.888888888888889,WC26-MF-S074,0.2777777777777778,3.5999999999999996
Martin Ødegaard,MF,Norway,27,5.2,3,4,3,4,Knockout stage,6.3,468,0.7692307692307692,0.5769230769230769,0.5769230769230769,0.7692307692307692,WC26-MF-S075,0.2777777777777778,3.5999999999999996
Miguel Almirón,"MF,FW",Paraguay,32,3.1,2,7,3,7,Knockout stage,5.3,279,2.258064516129032,0.9677419354838709,0.6451612903225806,2.258064516129032,WC26-MF-S076,0.2777777777777778,3.5999999999999996
Mohamed Salah,"FW,MF",Egypt,33,4.7,5,13,2,0,Knockout stage,5.3,423,0.0,0.425531914893617,1.0638297872340425,2.7659574468085104,WC26-MF-S077,0.2777777777777778,3.5999999999999996
